bo_iteration,generation,best,population_best,population_mean,population_worst,distinct_members,last_improvement,offspring
0,0,0.001095658397116151,0.001095658397116151,-0.19912380185673417,-1.0,100,0,0
0,1,0.001095665464146944,0.001095665464146944,-0.07899234352798279,-1.0,74,1,100
0,2,0.0010956983920650774,0.0010956983920650774,-0.018926594905553443,-1.0,68,2,100
0,3,0.0010956983920650774,0.0010956983920650774,-0.008915596170038181,-1.0,58,2,100
0,4,0.0010956983920650774,0.0010956983920650774,0.0010953849222627816,0.00109495712757388,65,2,100
0,5,0.001095712711982921,0.001095712711982921,0.0010953911354606688,0.00109495712757388,60,5,100
0,6,0.001095712711982921,0.001095712711982921,0.0010954087436849886,0.00109495712757388,63,5,100
0,7,0.0010957537392531254,0.0010957537392531254,0.0010954805173863024,0.00109495712757388,70,7,100
0,8,0.0010957537392531254,0.0010957537392531254,0.0010955060758713134,0.001094968181019439,57,7,100
0,9,0.0010957537392531254,0.0010957537392531254,0.001095516959732334,0.001094968181019439,57,7,100
0,10,0.0010957899245673634,0.0010957899245673634,0.001095551648905937,0.0010950899867092677,54,10,100
0,11,0.0010957899245673634,0.0010957899245673634,0.001095603385659333,0.001095237774041349,50,10,100
0,12,0.001095798953194148,0.001095798953194148,0.001095637698671708,0.001095409187600884,43,12,100
0,13,0.0010958312386672043,0.0010958312386672043,0.0010956633333789685,0.0010953441179822315,48,13,100
0,14,0.0010958488093357104,0.0010958488093357104,0.0010956742471089397,0.0010953258775056145,49,14,100
0,15,0.0010958488093357104,0.0010958488093357104,0.0010956784445608954,0.0010953074773506774,45,14,100
0,16,0.0010958564197814614,0.0010958564197814614,0.0010956792385023097,0.0010953074773506774,44,16,100
0,17,0.0010958564197814614,0.0010958564197814614,0.0010957048734455922,0.0010954221200652836,40,16,100
0,18,0.0010958564197814614,0.0010958564197814614,0.001095697328352413,0.0010952998563473959,44,16,100
0,19,0.0010958582965159116,0.0010958582965159116,0.001095729272942578,0.0010954080240081158,43,19,100
0,20,0.0010958582965159116,0.0010958582965159116,0.0010957371595440057,0.0010954080240081158,45,19,100
0,21,0.0010958582965159116,0.0010958582965159116,0.0010957513655190383,0.0010954937053486002,41,19,100
0,22,0.0010958759056032248,0.0010958759056032248,0.0010957666313392619,0.0010954372717312992,43,22,100
0,23,0.0010958759056032248,0.0010958759056032248,0.0010957679722988012,0.0010952722205857194,40,22,100
0,24,0.0010959007728451606,0.0010959007728451606,0.0010957846865864446,0.0010956688540259057,37,24,100
0,25,0.0010959007728451606,0.0010959007728451606,0.001095795306205945,0.0010956712717649641,38,24,100
0,26,0.0010959007728451606,0.0010959007728451606,0.001095790572248076,0.0010954262565693726,43,24,100
0,27,0.0010959102456688345,0.0010959102456688345,0.001095799442367803,0.0010953766484587298,45,27,100
0,28,0.0010959102456688345,0.0010959102456688345,0.0010958191882392268,0.0010956878228299775,48,27,100
0,29,0.0010959102456688345,0.0010959102456688345,0.0010958214493192791,0.001095445233039379,49,27,100
0,30,0.0010959512982972918,0.0010959512982972918,0.0010958327774426794,0.0010956036038530957,44,30,100
0,31,0.0010959512982972918,0.0010959512982972918,0.0010958445331286828,0.0010956036038530957,44,30,100
0,32,0.0010959512982972918,0.0010959512982972918,0.0010958335929631476,0.001095201741655157,43,30,100
0,33,0.0010959512982972918,0.0010959512982972918,0.0010958491983723594,0.0010952290476601047,41,30,100
0,34,0.0010959512982972918,0.0010959512982972918,0.0010958709259262277,0.0010955405156957481,41,30,100
0,35,0.0010959512982972918,0.0010959512982972918,0.0010958831182356018,0.0010956442918574512,32,30,100
1,0,0.009245173901432324,0.009245173901432324,0.0015778747525226743,6.843258793497696e-05,100,0,0
1,1,0.009819350121766705,0.009819350121766705,0.0021295027229971124,9.96212012081873e-05,77,1,100
1,2,0.011937808308161789,0.011937808308161789,0.002798463221166288,7.617976936151254e-05,65,2,100
1,3,0.011937808308161789,0.011937808308161789,0.0033813240713397087,0.00016676405924466735,58,2,100
1,4,0.011937808308161789,0.011937808308161789,0.0037027997910205864,0.0008014642351187543,62,2,100
1,5,0.013521923077208908,0.013521923077208908,0.004649218334059187,0.0008014642351187543,65,5,100
1,6,0.016295447722150934,0.016295447722150934,0.005282344115433518,0.0006825709636273779,60,6,100
1,7,0.016695158383458315,0.016695158383458315,0.006143021181691624,0.0006825709636273779,57,7,100
1,8,0.016695158383458315,0.016695158383458315,0.006691549515034234,0.0006825709636273779,58,7,100
1,9,0.02408664968172653,0.02408664968172653,0.008294868241674136,0.0005761799970995674,56,9,100
1,10,0.02408664968172653,0.02408664968172653,0.009021449251711828,0.001718119859753276,64,9,100
1,11,0.02408664968172653,0.02408664968172653,0.009084943023946268,0.0014837835461314931,61,9,100
1,12,0.02642913652228695,0.02642913652228695,0.008836540819617931,0.0020972811687563642,56,12,100
1,13,0.02642913652228695,0.02642913652228695,0.009178463327467766,0.0020972811687563642,54,12,100
1,14,0.02642913652228695,0.02642913652228695,0.010019602571163829,0.0020972811687563642,54,12,100
1,15,0.02642913652228695,0.02642913652228695,0.009714179061483152,0.0005685742585636241,57,12,100
1,16,0.027904218649766235,0.027904218649766235,0.01053756567760134,0.0018301147604899114,58,16,100
1,17,0.027904218649766235,0.027904218649766235,0.011674467164128293,0.0018301147604899114,57,16,100
1,18,0.02938510795996665,0.02938510795996665,0.012508275059179738,0.0017028559609377335,50,18,100
1,19,0.02938510795996665,0.02938510795996665,0.013434815180332398,0.00116861505729632,55,18,100
1,20,0.02938510795996665,0.02938510795996665,0.01582769312125922,0.00116861505729632,41,18,100
1,21,0.02938510795996665,0.02938510795996665,0.016066231179127533,0.0012472843439572303,40,18,100
1,22,0.02938510795996665,0.02938510795996665,0.016924719632912276,0.0012472843439572303,44,18,100
1,23,0.030613431953204352,0.030613431953204352,0.017977998112497492,0.0012472843439572303,43,23,100
1,24,0.030613431953204352,0.030613431953204352,0.01835716648189131,0.0012472843439572303,33,23,100
1,25,0.031123376177493854,0.031123376177493854,0.018088676095669373,0.0012472843439572303,35,25,100
1,26,0.031123376177493854,0.031123376177493854,0.019458011071882497,0.0012472843439572303,34,25,100
1,27,0.03159249246128491,0.03159249246128491,0.020119255271664437,0.0001693438011836502,44,27,100
1,28,0.031815483406090195,0.031815483406090195,0.021097350092241715,0.0012472843439572303,45,28,100
1,29,0.032530626590568656,0.032530626590568656,0.02256580851463598,0.0011397759078913315,44,29,100
1,30,0.032530626590568656,0.032530626590568656,0.02433896099670926,0.0031167625826236996,45,29,100
1,31,0.032530626590568656,0.032530626590568656,0.025385976799616423,0.015812244514475597,37,29,100
1,32,0.032530626590568656,0.032530626590568656,0.02508642203396221,0.008834873770266666,38,29,100
1,33,0.032530626590568656,0.032530626590568656,0.02438697018830585,0.008834873770266666,41,29,100
1,34,0.032530626590568656,0.032530626590568656,0.024883946588588418,0.0023586323416280412,42,29,100
1,35,0.032530626590568656,0.032530626590568656,0.024918451349833833,0.0023586323416280412,44,29,100
2,0,0.007602689496684967,0.007602689496684967,0.0010788807223710267,4.736520468523692e-05,100,0,0
2,1,0.007602689496684967,0.007602689496684967,0.0010238178757165518,4.736520468523692e-05,67,0,100
2,2,0.007606337024084295,0.007606337024084295,0.001399176573100906,5.783102610560915e-05,58,2,100
2,3,0.012486014971711746,0.012486014971711746,0.0017441089273183869,6.294568508232845e-05,65,3,100
2,4,0.012486014971711746,0.012486014971711746,0.002462342727464897,5.060366996082052e-05,61,3,100
2,5,0.017752501049055895,0.017752501049055895,0.003304389213163098,5.060366996082052e-05,58,5,100
2,6,0.017752501049055895,0.017752501049055895,0.003596455270734264,0.000224108032428096,58,5,100
2,7,0.017752501049055895,0.017752501049055895,0.0046121263609834135,0.000224108032428096,56,5,100
2,8,0.017752501049055895,0.017752501049055895,0.004798799291050548,0.000224108032428096,59,5,100
2,9,0.017752501049055895,0.017752501049055895,0.005448736904495155,0.000224108032428096,55,5,100
2,10,0.017752501049055895,0.017752501049055895,0.005745657513807161,0.00045383211779060966,50,5,100
2,11,0.017752501049055895,0.017752501049055895,0.006006008418418679,0.000803480769107176,48,5,100
2,12,0.017752501049055895,0.017752501049055895,0.006937072327608338,0.0003068439914110277,51,5,100
2,13,0.021879700649208876,0.021879700649208876,0.00817171459420802,0.000803480769107176,47,13,100
2,14,0.021879700649208876,0.021879700649208876,0.008887160140805785,0.000803480769107176,50,13,100
2,15,0.022888942281560493,0.022888942281560493,0.009672164093961731,0.000803480769107176,52,15,100
2,16,0.022888942281560493,0.022888942281560493,0.01038157997601897,0.000803480769107176,49,15,100
2,17,0.022909075777630156,0.022909075777630156,0.011874672060119986,0.002136162012790741,54,17,100
2,18,0.02292193882617479,0.02292193882617479,0.012362091734123202,0.0005833131052188512,56,18,100
2,19,0.025883571426092794,0.025883571426092794,0.013553015187394428,0.0015217065437383732,51,19,100
2,20,0.02895092229933778,0.02895092229933778,0.01427323937331101,0.0008527720893065586,49,20,100
2,21,0.02895092229933778,0.02895092229933778,0.016888044816362226,0.0041040215993642035,42,20,100
2,22,0.02895092229933778,0.02895092229933778,0.01767593916546956,0.0029142367079121358,42,20,100
2,23,0.02895092229933778,0.02895092229933778,0.018335472748259495,0.0029142367079121358,37,20,100
2,24,0.03453110982084086,0.03453110982084086,0.018987598857848755,0.003918930154634712,46,24,100
2,25,0.03453110982084086,0.03453110982084086,0.019085618093212523,0.0041040215993642035,40,24,100
2,26,0.03453110982084086,0.03453110982084086,0.019391673342955083,0.0021396465210553398,37,24,100
2,27,0.03453110982084086,0.03453110982084086,0.019440268219803436,0.00831956072392536,35,24,100
2,28,0.03453110982084086,0.03453110982084086,0.01974195869983074,0.00831956072392536,38,24,100
2,29,0.03482722591391364,0.03482722591391364,0.021937708117547625,0.00015668391279686795,34,29,100
2,30,0.03482722591391364,0.03482722591391364,0.023848689115010188,0.00015668391279686795,28,29,100
2,31,0.03482722591391364,0.03482722591391364,0.024137712867130453,0.002156230204672883,27,29,100
2,32,0.04336984616181927,0.04336984616181927,0.024757713325354765,0.00023148006999162193,35,32,100
2,33,0.04336984616181927,0.04336984616181927,0.02705896322023975,0.0038839856002965724,29,32,100
2,34,0.04336984616181927,0.04336984616181927,0.027130999733312205,0.0005119270607228327,33,32,100
2,35,0.04336984616181927,0.04336984616181927,0.0268471019226923,9.291801653263322e-05,37,32,100
3,0,0.006238869339464902,0.006238869339464902,0.0009845401133493276,1.9001616950047463e-05,100,0,0
3,1,0.007042939762802132,0.007042939762802132,0.0012878553730874154,5.8799221611799336e-05,74,1,100
3,2,0.008897628799352995,0.008897628799352995,0.0018934461666792457,5.090772455580174e-05,60,2,100
3,3,0.01113691743933123,0.01113691743933123,0.0019228637273948459,5.090772455580174e-05,64,3,100
3,4,0.01113691743933123,0.01113691743933123,0.0025088153443017613,5.090772455580174e-05,62,3,100
3,5,0.015445725850363173,0.015445725850363173,0.003209743965963866,8.244521006564511e-05,60,5,100
3,6,0.015851425425890714,0.015851425425890714,0.004054457896047863,9.489815326987016e-05,55,6,100
3,7,0.017441946291096626,0.017441946291096626,0.003946571347565886,0.00011264215818448616,51,7,100
3,8,0.017441946291096626,0.017441946291096626,0.004350099979145169,8.218585740948307e-05,48,7,100
3,9,0.01868833110698593,0.01868833110698593,0.005092298703885679,0.0003556089953784406,47,9,100
3,10,0.01868833110698593,0.01868833110698593,0.005914802098443765,0.0004924318275284362,51,9,100
3,11,0.01868833110698593,0.01868833110698593,0.006691279581577319,0.0004924318275284362,50,9,100
3,12,0.01868833110698593,0.01868833110698593,0.007503163850229156,0.0004102856528646081,48,9,100
3,13,0.01868833110698593,0.01868833110698593,0.00814610430450072,0.0004102856528646081,57,9,100
3,14,0.01868833110698593,0.01868833110698593,0.007719969417082634,0.0004102856528646081,48,9,100
3,15,0.018831483010119787,0.018831483010119787,0.008459292141433325,0.00023067493835831178,46,15,100
3,16,0.018831483010119787,0.018831483010119787,0.008664131257179311,2.225047381560082e-05,50,15,100
3,17,0.020710150964129977,0.020710150964129977,0.008917191753630985,0.00023067493835831178,53,17,100
3,18,0.020710150964129977,0.020710150964129977,0.00978585684593108,0.00023067493835831178,47,17,100
3,19,0.024254160757977962,0.024254160757977962,0.010054925446529585,0.00023067493835831178,44,19,100
3,20,0.024254160757977962,0.024254160757977962,0.011095485551730068,0.00023067493835831178,40,19,100
3,21,0.024254160757977962,0.024254160757977962,0.012402127953836826,0.00023067493835831178,43,19,100
3,22,0.024254160757977962,0.024254160757977962,0.01416588522275389,0.00023067493835831178,36,19,100
3,23,0.026835847935935297,0.026835847935935297,0.014710504587098598,0.00023067493835831178,37,23,100
3,24,0.02704311886685114,0.02704311886685114,0.015840965878300566,0.00023067493835831178,37,24,100
3,25,0.02704311886685114,0.02704311886685114,0.017513028533497742,0.005210184111378777,34,24,100
3,26,0.03203256629088298,0.03203256629088298,0.017397368702232477,0.005210184111378777,31,26,100
3,27,0.03203256629088298,0.03203256629088298,0.018828998003916547,0.0024888602017898286,36,26,100
3,28,0.03538923909896336,0.03538923909896336,0.01987604885994609,0.002477437696459476,37,28,100
3,29,0.03538923909896336,0.03538923909896336,0.021696939513789242,0.002477437696459476,34,28,100
3,30,0.035894190501196466,0.035894190501196466,0.024183023918415553,0.0008666835523427402,29,30,100
3,31,0.035894190501196466,0.035894190501196466,0.026138819291314702,0.002477437696459476,32,30,100
3,32,0.03631528672649209,0.03631528672649209,0.02625231945230308,0.008685533592297706,28,32,100
3,33,0.03631528672649209,0.03631528672649209,0.02739902144542068,0.008869958427147436,35,32,100
3,34,0.0392419861707089,0.0392419861707089,0.027566966589505512,1.711134720579544e-05,37,34,100
3,35,0.0392419861707089,0.0392419861707089,0.028926663548620727,0.00321084156198527,33,34,100
