bo_iteration,n_train,log_marginal_likelihood,calibration_root_mean_square,calibration_standard_deviation,calibration_maximum_absolute,calibration_outside_two,fit_size,fit_rank_correlation,fit_prediction_spread,fit_objective_spread,fit_residual_root_mean_square,kernel_hyperparameters
0,20,-28.380985618806164,1.0000000037154264,1.0000000036142163,2.1934649957284185,2,10,-0.11515151515151514,6.949906008524298e-06,0.6422666509946187,0.32148552063844715,"{""k1__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 1.0001420433739243}"
1,21,-28.836846927304926,0.9932783967934583,0.9932215354875159,2.173325924691824,1,10,0.4545454545454545,0.24800638081845142,0.6422666509946187,0.27169011497119294,"{""k1__k1__k1__constant_value"": 0.6840377262396762, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.491836679193897}"
2,22,-28.400212910932655,0.9926486187614468,0.9926416766065775,2.1802493064633786,2,11,0.5909090909090909,0.5673177151937475,0.655733327070872,0.26082260549349995,"{""k1__k1__k1__constant_value"": 0.72452802914801, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.3551177830397789}"
3,23,-28.299229583379876,0.9923875259860461,0.9923485212467275,2.1848883640855714,2,11,0.7545454545454545,0.6903137387443504,0.655733327070872,0.22282546962490885,"{""k1__k1__k1__constant_value"": 0.6879896706005851, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.3022452734129174}"
4,24,-29.040122651955105,0.9954314922375539,0.9952972043504966,2.2112852914543013,2,12,0.7552447552447553,0.6903137387443624,0.655733327070872,0.21594020828643762,"{""k1__k1__k1__constant_value"": 0.6422249709999903, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.3038151167101122}"
5,25,-30.904458676030632,0.9929576150631692,0.9925036789010908,2.2844946259001975,1,12,0.7692307692307694,0.5787095983942803,0.655733327070872,0.21936831022189,"{""k1__k1__k1__constant_value"": 0.5571344172869341, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.374440491661604}"
6,26,-30.943393128822905,0.9995418928639084,0.9988268252644283,2.359284718891889,2,13,0.7857142857142857,0.5787095923013027,0.655733327070872,0.2112157696264228,"{""k1__k1__k1__constant_value"": 0.5498701515399931, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.33138038454442054}"
7,27,-30.962210054411187,1.0066231075330223,1.0057396504561071,2.412883037338362,2,13,0.7032967032967032,0.6999519022370899,0.655733327070872,0.21716151762965893,"{""k1__k1__k1__constant_value"": 0.5422159658720256, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.2954440995666074}"
8,28,-31.232225389303487,1.0125915571858954,1.0114600135177272,2.4483592227298865,2,14,0.7054945054945055,0.6999519065538344,0.655733327070872,0.21060761226612673,"{""k1__k1__k1__constant_value"": 0.5391153558236846, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.2726246752555313}"
9,29,-31.30904783516839,1.0151474863939356,1.0138701818535898,2.3852330305670666,2,14,0.7494505494505495,0.7912605805513463,0.655733327070872,0.2168959035919596,"{""k1__k1__k1__constant_value"": 0.5221430808539653, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.25263807091889084}"
10,30,-31.63172443369274,1.0183311609110408,1.0169860379276785,2.4402577477138796,2,15,0.7571428571428571,0.7912606057769703,0.7121999859809875,0.21159743343656595,"{""k1__k1__k1__constant_value"": 0.5297875934483159, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.2329658684657503}"
11,31,-31.638912626732647,1.0245817462138296,1.02308979511663,2.536362879876264,2,15,0.6642857142857141,0.8787197144211244,0.7121999859809875,0.22367254081463095,"{""k1__k1__k1__constant_value"": 0.5313380318782382, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.21093620467457455}"
12,32,-31.639539364537605,1.0317428064967762,1.0302412579762699,2.595213331230497,2,16,0.711764705882353,0.8787197144210911,0.726799984773,0.21672807601138142,"{""k1__k1__k1__constant_value"": 0.5299263205028834, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.00010000000000000009, ""k2__noise_level"": 0.19345228844550622}"
13,33,-31.85296302157485,1.0358198702130992,1.0345907467685913,2.679639242489177,3,16,0.6441176470588235,0.8632427478312175,0.726799984773,0.21846595545256714,"{""k1__k1__k1__constant_value"": 0.5277039589712751, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.04254765926865609, ""k2__noise_level"": 0.178205701451885}"
14,34,-32.06825604458422,1.0394820504091582,1.0382123094258355,2.734978060718939,3,17,0.6642156862745099,0.863242747831348,0.726799984773,0.21229470633267458,"{""k1__k1__k1__constant_value"": 0.5303642668641317, ""k1__k2__k1__k1__constant_value"": 0.00010000000000000009, ""k1__k2__k2__k1__constant_value"": 0.038819940905937704, ""k2__noise_level"": 0.1666385931191146}"
